feature,coef,std_err,p_value,odds_ratio,profile_ci_low,profile_ci_high,or_ci_low,or_ci_high,p_value_fdr
elo_rating,4.83695774992766,1.2440742986648468,0.00010107467189354402,126.08518499759768,2.7500797603558107,7.6768884160146085,15.643879595831372,2157.894843646254,0.0015161200784031602
trade_pct_gdp,-1.2748284537173094,0.7289423225898124,0.08031275948885716,0.2794789076770745,-2.842999037589684,0.018866518965350895,0.05825070768044073,1.019045616275526,0.5275838564558684
football_tradition,2.16615942519929,1.3552650333107883,0.10996977340077972,8.724711705554789,-0.0015737845794941696,5.971648541056647,0.998427453170055,392.1516162095449,0.5275838564558684
wc_participations_before,-0.8293263678817948,0.6016425539965865,0.1680684008804032,0.43634312208341414,-2.109577077493426,0.28805695228879796,0.12128925154208653,1.3338332668176593,0.5275838564558684
fifa_rank,1.00797226075151,0.7580974238258368,0.18364752124098116,2.7400392928449313,-0.7461113747384458,2.2908411115652534,0.47420698530784233,9.883247099547035,0.5275838564558684
fifa_rank_inverse,-0.3022360750849298,0.2590696215050022,0.24336343674738758,0.7391635461936398,-0.8916462089903857,0.15395295792461816,0.4099802836943726,1.1664360139168881,0.5275838564558684
is_host,0.22642215093530865,0.20750048047774347,0.27518991974361684,1.254104975134229,-0.18307274907963994,0.639527509928389,0.8327075748238372,1.895585022576851,0.5275838564558684
gdp_total_rank,0.9681315591920732,0.8987241605182037,0.2813780567764631,2.6330202180365365,-0.7632440327672254,2.7989567783696363,0.46615175993969254,16.427500305218853,0.5275838564558684
wc_semifinals_before,-0.41435101024832177,0.5281116290164772,0.4326940980595474,0.6607689738734706,-1.4827364556256832,0.6207373700998068,0.22701561947098614,1.860299265289546,0.7211568300992457
population_log,0.39947836737261133,1.0103466221750854,0.6925569748332197,1.4910467161325465,-1.613058766412899,2.337839948577481,0.1992771386816416,10.358836759000422,0.9346407513042376
years_since_last_win,0.16603010218000624,0.4900106587852733,0.7347381218057527,1.180608640082183,-0.7906544850523755,1.1605266532885519,0.45354785782890694,3.19161370742981,0.9346407513042376
is_strong_europe,0.17531265348543054,0.5450299083272455,0.7477126010433901,1.1916187221235266,-0.8128652184458758,1.4087741789314583,0.4435852749690375,4.090937571751678,0.9346407513042376
years_since_last_final,0.014634797332907906,0.5191178743840709,0.9775092847615284,1.0147424103032125,-1.012922390241053,1.054550141224691,0.363156143347539,2.8706834612373178,0.9999955276110545
is_south_america,-11.665344530784537,1991435.0410424133,0.9999953261853358,8.58628383533348e-06,-169.1574396038195,664.7926702850278,3.4344516531175737e-74,5.197425998483621e+288,0.9999955276110545
is_strong_sa,9.054048422035612,1615263.237761484,0.9999955276110545,8553.09446374381,-107.82886747736484,922.1048071491185,1.4808731697322196e-47,inf,0.9999955276110545
