date,match,score,predicted,actual,confidence,p_home,p_draw,p_away
2026-06-23,Panama vs Croatia,0-1,Away win,Away win,0.4769635678805664,0.14814759403219,0.3748888380872436,0.4769635678805664
2026-06-24,Morocco vs Haiti,4-2,Home win,Home win,0.6201702758107309,0.6201702758107309,0.3179452264522767,0.06188449773699234
2026-06-24,Bosnia and Herzegovina vs Qatar,3-1,Draw,Home win,0.4417686800648119,0.29362019181438553,0.4417686800648119,0.26461112812080256
2026-06-24,Scotland vs Brazil,0-3,Away win,Away win,0.8092612128898746,0.045581930877075676,0.14515685623304977,0.8092612128898746
2026-06-24,South Africa vs Korea Republic,1-0,Away win,Home win,0.46363917747304956,0.13899062582856492,0.3973701966983855,0.46363917747304956
2026-06-24,Mexico vs Czech Republic,3-0,Home win,Home win,0.5652183114363679,0.5652183114363679,0.33417268054714494,0.1006090080164871
2026-06-24,Canada vs Switzerland,1-2,Home win,Away win,0.37847459485837975,0.37847459485837975,0.37287530994355234,0.24865009519806794
2026-06-25,USA vs Turkey,2-3,Home win,Away win,0.4895454626353165,0.4895454626353165,0.3398538049596561,0.17060073240502746
2026-06-25,Paraguay vs Australia,0-0,Draw,Draw,0.4796446177577466,0.2757221142154024,0.4796446177577466,0.24463326802685106
2026-06-25,Curaçao vs Côte d'Ivoire,0-2,Away win,Away win,0.5511516627123879,0.08451772657957629,0.36433061070803574,0.5511516627123879
2026-06-25,Ecuador vs Germany,2-1,Draw,Home win,0.40183108337425194,0.3524318506222383,0.40183108337425194,0.24573706600350978
2026-06-25,Japan vs Sweden,1-1,Home win,Draw,0.4567175952917116,0.4567175952917116,0.3841217910247495,0.15916061368353887
2026-06-25,Tunisia vs Netherlands,1-3,Away win,Away win,0.4871225661390467,0.14160551876808433,0.371271915092869,0.4871225661390467
2026-06-26,New Zealand vs Belgium,0-3,Away win,Away win,0.5180970611449842,0.14811418333576484,0.333788755519251,0.5180970611449842
2026-06-26,Egypt vs IR Iran,1-1,Draw,Draw,0.453426682522411,0.20243025940266463,0.453426682522411,0.34414305807492446
