date,match,score,predicted,actual,confidence,p_home,p_draw,p_away
2026-06-23,Panama vs Croatia,0-1,Away win,Away win,0.522514768354927,0.12119255243804347,0.35629267920702956,0.522514768354927
2026-06-24,Morocco vs Haiti,4-2,Home win,Home win,0.6286740449989037,0.6286740449989037,0.33060774171595136,0.040718213285145015
2026-06-24,Bosnia and Herzegovina vs Qatar,3-1,Draw,Home win,0.37166494128596106,0.36481437320706295,0.37166494128596106,0.26352068550697594
2026-06-24,Scotland vs Brazil,0-3,Away win,Away win,0.5445664715422278,0.10029308917685834,0.3551404392809138,0.5445664715422278
2026-06-24,South Africa vs Korea Republic,1-0,Draw,Home win,0.4629271300613404,0.14113279837256978,0.4629271300613404,0.39594007156608985
2026-06-24,Mexico vs Czech Republic,3-0,Home win,Home win,0.46011136193984403,0.46011136193984403,0.42898329022855997,0.11090534783159597
2026-06-24,Canada vs Switzerland,1-2,Draw,Away win,0.4073542621888594,0.321709528962802,0.4073542621888594,0.27093620884833863
2026-06-25,USA vs Turkey,2-3,Draw,Away win,0.3849105352474915,0.347891561684224,0.3849105352474915,0.26719790306828456
2026-06-25,Paraguay vs Australia,0-0,Draw,Draw,0.43776357999970233,0.308686510448338,0.43776357999970233,0.2535499095519597
2026-06-25,Curaçao vs Côte d'Ivoire,0-2,Away win,Away win,0.5807617401314317,0.10477375223157741,0.314464507636991,0.5807617401314317
2026-06-25,Ecuador vs Germany,2-1,Draw,Home win,0.451810454154105,0.14784429069551366,0.451810454154105,0.4003452551503813
2026-06-25,Japan vs Sweden,1-1,Home win,Draw,0.4863902808947527,0.4863902808947527,0.3535512655501478,0.16005845355509946
2026-06-25,Tunisia vs Netherlands,1-3,Away win,Away win,0.4465102044458899,0.14860482835483285,0.4048849671992772,0.4465102044458899
2026-06-26,New Zealand vs Belgium,0-3,Away win,Away win,0.5222980060939918,0.136379498046576,0.34132249585943225,0.5222980060939918
2026-06-26,Egypt vs IR Iran,1-1,Draw,Draw,0.4258053798236991,0.3333988221449082,0.4258053798236991,0.24079579803139273
