feature,importance
elo_rating,0.1351306078721553
population_vs_winner,0.11928265202078675
football_power_index,0.11100153408638168
is_former_champion,0.09101793636843242
gdp_per_capita_vs_winner,0.07904672902891514
football_tradition,0.06728006212042313
wc_semifinals_before,0.05307685401374707
population_vs_avg,0.03869540397563472
population_log,0.03292414599052781
gdp_total_log,0.02671622222266841
population,0.024231973759195148
wc_participations_before,0.022122720669634513
pop_density,0.02029502986392666
gdp_total,0.019486534457622533
fdi_pct_gdp,0.017422592259825603
years_since_last_final,0.016811060645905953
population_rank,0.014818778798377917
years_since_last_win,0.01423417617949069
population_growth,0.013180648753169821
wc_finals_before,0.01169105986369169
air_transport_passengers,0.006658851542388458
gdp_per_capita_rank,0.006040703742634091
gdp_per_capita_vs_avg,0.005930225755017741
wc_titles_before,0.005823647647803421
infant_mortality,0.005586173214488957
trade_pct_gdp,0.004217421071253507
under5_mortality,0.004164991800514041
gdp_total_rank,0.003916145579635973
life_expectancy,0.0035992086845745255
inflation,0.0035690986147993878
gdp_growth,0.0029134042803562734
urbanization_pct,0.0028471272971092466
investment_pct_gdp,0.0026539188733631226
military_spending_pct_gdp,0.0025134880221264148
is_strong_europe,0.0021867826710513343
gdp_per_capita,0.0021712411775412933
avg_goals_per_match,0.001916168550981698
gdp_per_capita_log,0.0015669251231524807
is_asia,0.0011215927884371032
total_goals_in_tournament,0.0006826070894768641
is_north_america,0.0005208037146780181
is_host,0.00045436740653071806
is_strong_sa,0.0003102803838233355
num_teams_in_tournament,0.00015665068670434363
is_europe,1.1451331044755237e-05
years_since_last_wc,0.0
is_oceania,0.0
is_south_america,0.0
is_africa,0.0
