year,date,match_id,home_team,away_team,p_home_win,p_draw,p_away_win,predicted_class
1930,1930-07-13,0,Belgium,United States,0.8996092107394464,0.060110997327093206,0.0402797919334603,home_win
1930,1930-07-13,1,France,Mexico,0.585097765034304,0.14670095722084983,0.2682012777448462,home_win
1930,1930-07-14,2,Brazil,Serbia,0.8885559241051393,0.03886202635924459,0.07258204953561613,home_win
1930,1930-07-14,3,Peru,Romania,0.3593011880337484,0.08429568503524751,0.5564031269310041,away_win
1930,1930-07-15,4,Argentina,France,0.88715802301231,0.09555554992622808,0.017286427061462,home_win
1930,1930-07-16,5,Chile,Mexico,0.834967010952778,0.07366205697013395,0.09137093207708796,home_win
1930,1930-07-17,6,Bolivia,Serbia,0.5237611298071833,0.03169412769254471,0.444544742500272,home_win
1930,1930-07-17,7,Paraguay,United States,0.8598698185413371,0.0491558600405784,0.09097432141808447,home_win
1930,1930-07-18,8,Uruguay,Peru,0.9407609753988865,0.0357166470825373,0.023522377518576193,home_win
1930,1930-07-19,9,Argentina,Mexico,0.9193641067213355,0.0555290698794713,0.025106823399193144,home_win
1930,1930-07-19,10,Chile,France,0.8580442315396423,0.03759210775228893,0.10436366070806881,home_win
1930,1930-07-20,11,Belgium,Paraguay,0.8294466159825485,0.04796515017488227,0.12258823384256913,home_win
1930,1930-07-20,12,Bolivia,Brazil,0.2944960826375466,0.038199774067108914,0.6673041432953445,away_win
1930,1930-07-21,13,Uruguay,Romania,0.666893626261265,0.07376044518353213,0.2593459285552028,home_win
1930,1930-07-22,14,Argentina,Chile,0.8936179829563823,0.08017240957485422,0.026209607468763454,home_win
1930,1930-07-26,15,Argentina,United States,0.9341639967807459,0.04481913279787665,0.021016870421377492,home_win
1930,1930-07-27,16,Uruguay,Serbia,0.9018414859870985,0.03056318379598323,0.06759533021691826,home_win
1930,1930-07-30,17,Uruguay,Argentina,0.35150177334254307,0.4755473874672469,0.1729508391902101,draw
1934,1934-05-27,0,Argentina,Sweden,0.8070330083894208,0.1254064152047516,0.06756057640582752,home_win
1934,1934-05-27,1,Austria,France,0.9598441988186222,0.023612309906975642,0.016543491274402234,home_win
1934,1934-05-27,2,Belgium,Germany,0.39376863837242126,0.0680604875087738,0.5381708741188049,away_win
1934,1934-05-27,3,Brazil,Spain,0.6407815527566574,0.15670134916746545,0.20251709807587723,home_win
1934,1934-05-27,4,Czech Republic,Romania,0.8530374614243376,0.044394197395141284,0.10256834118052116,home_win
1934,1934-05-27,5,Egypt,Hungary,0.6409517217107887,0.16916468005618512,0.1898835982330262,home_win
1934,1934-05-27,6,Italy,United States,0.8908284967643919,0.04314411174392034,0.0660273914916878,home_win
1934,1934-05-27,7,Netherlands,Switzerland,0.44218673149009374,0.03440516724871035,0.5234081012611959,away_win
1934,1934-05-31,8,Austria,Hungary,0.6733391284942627,0.2025137096643448,0.12414716184139252,home_win
