model,tournaments,exact_winner_accuracy,top3_accuracy,top5_accuracy,pooled_auc
match_simulator,22,0.3181818181818182,0.5,0.6363636363636364,0.8457270780611251
meta_model,21,0.19047619047619047,0.5714285714285714,0.6190476190476191,0.8210344827586208
